ClubPlant,Cluster,SubCluster,Operator,TruckType,Part,Demand,Plant,PlantDemand
1120,N7,N7,VARUNA,32 MA,SG1,1,1120,1
1120,N7,N7,EAST INDIA,32 SA,SG1,4,1120,4
1120,N7,N7,EAST INDIA,32 SA,SG2,3,1120,3
1120,N7,N7,LGB,32 SA,SG1,1,1120,1
1120,N7,N7,LGB,32 SA,SG2,2,1120,2
1120,N7,N7,NSTCL,32 SA,SG1,14,1120,14
1120,N7,N7,NSTCL,32 SA,SG2,10,1120,10
1120,N7,N7,RCI,32 SA,SG1,2,1120,2
1120,N7,N7,RCI,32 SA,SG2,2,1120,2
1120,N7,N7,VARUNA,32 SA,SG1,2,1120,2
1120,N7,N7,VARUNA,32 SA,SG2,2,1120,2
1120,S4,S4,MEGA,32 MA,SG1,2,1120,2
1120,S4,S4,MEGA,32 MA,SG2,1,1120,1
1120,S4,S4,EXPRESS,32 MA,SG1,5,1120,5
1120,S4,S4,EXPRESS,32 MA,SG2,4,1120,4
1120,S4,S4_1,EAST INDIA,18 FT,SG1,14,1120,14
1120,S4,S4_1,EAST INDIA,18 FT,SG2,12,1120,12
1120,S4,S4_1,KTC,18 FT,SG1,10,1120,10
1120,S4,S4_1,KTC,18 FT,SG2,7,1120,7
1120,S4,S4_1,VARUNA,18 FT,SG1,7,1120,7
1120,S4,S4_1,VARUNA,18 FT,SG2,5,1120,5
1120,W5,W5,DGFC,32 MA,SG1,2,1120,2
1120,W5,W5,DGFC,32 MA,SG2,2,1120,2
1120,W5,W5,EXPRESS,32 MA,SG1,2,1120,2
1120,W5,W5,EXPRESS,32 MA,SG2,3,1120,3
1120,W5,W5,MEGA,32 MA,SG1,2,1120,2
1120,W5,W5,MEGA,32 MA,SG2,1,1120,1
1120,W5,W5,RCI,32 MA,SG1,1,1120,1
1120,W5,W5,SWASTIK,32 MA,SG1,1,1120,1
1120,W5,W5,LGB,32 SA,SG1,11,1120,11
1120,W5,W5,LGB,32 SA,SG2,9,1120,9
1120,W5,W5,NSTCL,32 SA,SG1,3,1120,3
1120,W5,W5,NSTCL,32 SA,SG2,2,1120,2
1130,E6,E6,ANAND,32 MA,SG1,6,1130,6
1130,E6,E6,ANAND,32 MA,SG2,4,1130,4
1130,E6,E6,KAPOOR,32 MA,SG1,9,1130,9
1130,E6,E6,KAPOOR,32 MA,SG2,7,1130,7
1130,E6,E6,NCS,32 MA,SG1,3,1130,3
1130,E6,E6,NCS,32 MA,SG2,3,1130,3
1130,N8,N8,AVG,32 MA,SG1,1,1130,1
1130,N8,N8,DRS,32 MA,SG1,1,1130,1
1130,N8,N8,INDOARYA,32 MA,SG1,2,1130,2
1130,N8,N8,INDOARYA,32 MA,SG2,2,1130,2
1130,N8,N8,LGB,32 MA,SG1,2,1130,2
1130,N8,N8,LGB,32 MA,SG2,3,1130,3
1130,N8,N8,RCI,32 MA,SG1,1,1130,1
1130,N8,N8,RCI,32 MA,SG2,2,1130,2
1130,N8,N8,SHREE SHYAM,32 MA,SG1,3,1130,3
1130,N8,N8,SHREE SHYAM,32 MA,SG2,2,1130,2
1130,N8,N8,SHRINIWASA,32 MA,SG1,3,1130,3
1130,N8,N8,SHRINIWASA,32 MA,SG2,2,1130,2
1130,N8,N8,SWASTIK,32 MA,SG1,1,1130,1
1130,N8,N8,VIKAS,32 MA,SG1,1,1130,1
1130,N8,N8_1,AVG,32 MA,SG1,1,1130,1
1130,N8,N8_1,AVG,32 MA,SG2,1,1130,1
1130,N8,N8_1,CORE,32 MA,SG2,1,1130,1
1130,N8,N8_1,INDOARYA,32 MA,SG2,1,1130,1
1130,N8,N8_1,LGB,32 MA,SG1,1,1130,1
1130,N8,N8_1,LGB,32 MA,SG2,1,1130,1
1130,N8,N8_1,RCI,32 MA,SG1,2,1130,2
1130,N8,N8_1,SHREE SHYAM,32 MA,SG1,2,1130,2
1130,N8,N8_1,SWASTIK,32 MA,SG1,1,1130,1
1130,N8,N8_1,SWASTIK,32 MA,SG2,1,1130,1
1130,N8,N8_1,VIKAS,32 MA,SG1,1,1130,1
1130,N8,N8_1,VIKAS,32 MA,SG2,1,1130,1
1130,N9,N9,AVG,32 MA,SG1,1,1130,1
1130,N9,N9,BLR,32 MA,SG1,2,1130,2
1130,N9,N9,BLR,32 MA,SG2,1,1130,1
1130,N9,N9,CORE,32 MA,SG1,2,1130,2
1130,N9,N9,CORE,32 MA,SG2,1,1130,1
1130,N9,N9,DRS,32 MA,SG1,1,1130,1
1130,N9,N9,EAST INDIA,32 MA,SG1,2,1130,2
1130,N9,N9,EAST INDIA,32 MA,SG2,3,1130,3
1130,N9,N9,EXPRESS,32 MA,SG1,2,1130,2
1130,N9,N9,EXPRESS,32 MA,SG2,2,1130,2
1130,N9,N9,INDOARYA,32 MA,SG1,2,1130,2
1130,N9,N9,INDOARYA,32 MA,SG2,2,1130,2
1130,N9,N9,LGB,32 MA,SG1,2,1130,2
1130,N9,N9,LGB,32 MA,SG2,2,1130,2
1130,N9,N9,MAHAVEERA,32 MA,SG1,1,1130,1
1130,N9,N9,MAHAVEERA,32 MA,SG2,1,1130,1
1130,N9,N9,RCI,32 MA,SG1,2,1130,2
1130,N9,N9,RCI,32 MA,SG2,1,1130,1
1130,N9,N9,SHREE SHYAM,32 MA,SG1,2,1130,2
1130,N9,N9,SHREE SHYAM,32 MA,SG2,2,1130,2
1130,N9,N9,SHRINIWASA,32 MA,SG1,3,1130,3
1130,N9,N9,SHRINIWASA,32 MA,SG2,3,1130,3
1130,S5,S5,KTC,18 FT,SG2,1,1130,1
1130,S5,S5,ANAND,18 FT,SG1,2,1130,2
1130,S5,S5,ANAND,18 FT,SG2,1,1130,1
1130,S5,S5,VARUNA,18 FT,SG1,1,1130,1
1130,S5,S5,EXPRESS,32 MA,SG1,2,1130,2
1130,S5,S5,EXPRESS,32 MA,SG2,1,1130,1
1130,S5,S5_1,DGFC,18 FT,SG1,1,1130,1
1130,S5,S5_1,DGFC,18 FT,SG2,1,1130,1
1130,S5,S5_1,EAST INDIA,18 FT,SG1,1,1130,1
1130,S5,S5_1,KTC,18 FT,SG1,5,1130,5
1130,S5,S5_1,KTC,18 FT,SG2,4,1130,4
1130,S5,S5_1,MEGA,18 FT,SG1,4,1130,4
1130,S5,S5_1,MEGA,18 FT,SG2,2,1130,2
1130,S5,S5_1,VARUNA,18 FT,SG1,2,1130,2
1130,S5,S5_1,VARUNA,18 FT,SG2,2,1130,2
1130,S5,S5_1,EXPRESS,32 MA,SG1,13,1130,13
1130,S5,S5_1,EXPRESS,32 MA,SG2,12,1130,12
1130,S5,S5_1,ILAN,32 MA,SG1,2,1130,2
1130,S5,S5_1,ILAN,32 MA,SG2,1,1130,1
1130,S5,S5_1,MAHAVEERA,32 MA,SG1,2,1130,2
1130,S5,S5_1,MAHAVEERA,32 MA,SG2,2,1130,2
1130,S5,S5_1,RCI,32 MA,SG1,9,1130,9
1130,S5,S5_1,RCI,32 MA,SG2,6,1130,6
1130,S5,S5_2,KTC,18 FT,SG1,3,1130,3
1130,S5,S5_2,KTC,18 FT,SG2,3,1130,3
1130,S5,S5_2,MEGA,18 FT,SG1,2,1130,2
1130,S5,S5_2,MEGA,18 FT,SG2,1,1130,1
1130,S5,S5_2,VARUNA,18 FT,SG1,2,1130,2
1130,S5,S5_2,VARUNA,18 FT,SG2,1,1130,1
1130,W6,W6,BLR,32 MA,SG1,7,1130,7
1130,W6,W6,BLR,32 MA,SG2,5,1130,5
1130,W6,W6,DGFC,32 MA,SG1,2,1130,2
1130,W6,W6,DGFC,32 MA,SG2,2,1130,2
1130,W6,W6,EAST INDIA,32 MA,SG1,5,1130,5
1130,W6,W6,EAST INDIA,32 MA,SG2,5,1130,5
1130,W6,W6,EXPRESS,32 MA,SG1,8,1130,8
1130,W6,W6,EXPRESS,32 MA,SG2,7,1130,7
1130,W6,W6,INDOARYA,32 MA,SG1,2,1130,2
1130,W6,W6,INDOARYA,32 MA,SG2,3,1130,3
1130,W6,W6,LGB,32 MA,SG1,8,1130,8
1130,W6,W6,LGB,32 MA,SG2,5,1130,5
1130,W6,W6,MAHAVEERA,32 MA,SG1,3,1130,3
1130,W6,W6,MAHAVEERA,32 MA,SG2,2,1130,2
1130,W6,W6,RCI,32 MA,SG1,4,1130,4
1130,W6,W6,RCI,32 MA,SG2,3,1130,3
1130,W6,W6,SWASTIK,32 MA,SG1,4,1130,4
1130,W6,W6,SWASTIK,32 MA,SG2,3,1130,3
1140,E1,E1,DGFC,32 MA,SG1,4,1140,4
1140,E1,E1,DGFC,32 MA,SG2,2,1140,2
1140,E1,E1,KAPOOR,32 MA,SG1,1,1140,1
1140,E1,E1,KAPOOR,32 MA,SG2,1,1140,1
1140,E2,E2,ANAND,32 MA,SG1,2,1140,2
1140,E2,E2,ANAND,32 MA,SG2,2,1140,2
1140,E2,E2,NCS,32 MA,SG1,2,1140,2
1140,E2,E2,NCS,32 MA,SG2,2,1140,2
1140,E2,E2,RCI,32 MA,SG1,1,1140,1
1140,E2,E2,VARUNA,32 MA,SG1,2,1140,2
1140,E2,E2,VARUNA,32 MA,SG2,1,1140,1
1140,N1,N1,APML,32 MA,SG1,2,1140,2
1140,N1,N1,APML,32 MA,SG2,2,1140,2
1140,N1,N1,EAST INDIA,32 MA,SG1,1,1140,1
1140,N1,N1,EAST INDIA,32 MA,SG2,2,1140,2
1140,N1,N1,LGB,32 MA,SG1,3,1140,3
1140,N1,N1,LGB,32 MA,SG2,1,1140,1
1140,N1,N1,MAHAVEERA,32 MA,SG1,3,1140,3
1140,N1,N1,MAHAVEERA,32 MA,SG2,2,1140,2
1140,N1,N1,RCI,32 MA,SG1,1,1140,1
1140,N1,N1,RCI,32 MA,SG2,1,1140,1
1140,N1,N1,VARUNA,32 MA,SG1,2,1140,2
1140,N1,N1,VARUNA,32 MA,SG2,1,1140,1
1140,N1,N1_1,EAST INDIA,32 MA,SG2,1,1140,1
1140,N1,N1_1,SWASTIK,32 MA,SG1,1,1140,1
1140,N1,N1_1,VARUNA,32 MA,SG1,1,1140,1
1140,N2,N2,APML,32 MA,SG1,1,1140,1
1140,N2,N2,APML,32 MA,SG2,2,1140,2
1140,N2,N2,DRS,32 MA,SG1,4,1140,4
1140,N2,N2,DRS,32 MA,SG2,2,1140,2
1140,N2,N2,LGB,32 MA,SG1,2,1140,2
1140,N2,N2,LGB,32 MA,SG2,1,1140,1
1140,N2,N2,RCI,32 MA,SG1,3,1140,3
1140,N2,N2,RCI,32 MA,SG2,2,1140,2
1140,N2,N2,VARUNA,32 MA,SG1,1,1140,1
1140,N2,N2,VARUNA,32 MA,SG2,1,1140,1
1140,N3,N3,APML,32 MA,SG1,3,1140,3
1140,N3,N3,APML,32 MA,SG2,2,1140,2
1140,N3,N3,DRS,32 MA,SG1,3,1140,3
1140,N3,N3,DRS,32 MA,SG2,2,1140,2
1140,N3,N3,LGB,32 MA,SG1,2,1140,2
1140,N3,N3,LGB,32 MA,SG2,1,1140,1
1140,N3,N3,RCI,32 MA,SG1,1,1140,1
1140,N3,N3,RCI,32 MA,SG2,1,1140,1
1140,N3,N3,VARUNA,32 MA,SG1,2,1140,2
1140,N3,N3,VARUNA,32 MA,SG2,2,1140,2
1140,S1,S1,INDOARYA,18 FT,SG1,2,1140,2
1140,S1,S1,INDOARYA,18 FT,SG2,2,1140,2
1140,S1,S1,KTC,18 FT,SG1,2,1140,2
1140,S1,S1,KTC,18 FT,SG2,1,1140,1
1140,S1,S1,MEGA,18 FT,SG1,1,1140,1
1140,S1,S1,SWASTIK,18 FT,SG1,1,1140,1
1140,S1,S1,SWASTIK,18 FT,SG2,1,1140,1
1140,S1,S1,COSMO,32 MA,SG1,2,1140,2
1140,S1,S1,COSMO,32 MA,SG2,1,1140,1
1140,S1,S1_1,CHINNA,18 FT,SG1,1,1140,1
1140,S1,S1_1,CHINNA,18 FT,SG2,1,1140,1
1140,S1,S1_1,ILAN,18 FT,SG1,2,1140,2
1140,S1,S1_1,ILAN,18 FT,SG2,1,1140,1
1140,S1,S1_1,CHINNA,32 MA,SG1,9,1140,9
1140,S1,S1_1,CHINNA,32 MA,SG2,7,1140,7
1140,S1,S1_2,CHINNA,32 MA,SG1,15,1140,15
1140,S1,S1_2,CHINNA,32 MA,SG2,11,1140,11
1140,S2,S2,INDOARYA,18 FT,SG1,2,1140,2
1140,S2,S2,INDOARYA,18 FT,SG2,2,1140,2
1140,S2,S2,KTC,18 FT,SG1,4,1140,4
1140,S2,S2,KTC,18 FT,SG2,3,1140,3
1140,S2,S2,MEGA,18 FT,SG1,2,1140,2
1140,S2,S2,MEGA,18 FT,SG2,1,1140,1
1140,S2,S2,SWASTIK,18 FT,SG1,2,1140,2
1140,S2,S2,SWASTIK,18 FT,SG2,1,1140,1
1140,S2,S2,EXPRESS,32 MA,SG1,3,1140,3
1140,S2,S2,EXPRESS,32 MA,SG2,3,1140,3
1140,S2,S2,MEGA,32 MA,SG1,7,1140,7
1140,S2,S2,MEGA,32 MA,SG2,5,1140,5
1140,S3,S3,INDOARYA,18 FT,SG1,2,1140,2
1140,S3,S3,INDOARYA,18 FT,SG2,1,1140,1
1140,S3,S3,KTC,18 FT,SG1,2,1140,2
1140,S3,S3,KTC,18 FT,SG2,1,1140,1
1140,S3,S3,MEGA,18 FT,SG1,1,1140,1
1140,S3,S3,MEGA,18 FT,SG2,1,1140,1
1140,S3,S3,SWASTIK,18 FT,SG1,2,1140,2
1140,S3,S3,SWASTIK,18 FT,SG2,1,1140,1
1140,S3,S3,EXPRESS,32 MA,SG1,3,1140,3
1140,S3,S3,EXPRESS,32 MA,SG2,2,1140,2
1140,S3,S3,COSMO,32 MA,SG1,2,1140,2
1140,S3,S3,COSMO,32 MA,SG2,1,1140,1
1140,W1,W1,APML,32 MA,SG1,2,1140,2
1140,W1,W1,APML,32 MA,SG2,1,1140,1
1140,W1,W1,EAST INDIA,32 MA,SG1,3,1140,3
1140,W1,W1,EAST INDIA,32 MA,SG2,3,1140,3
1140,W1,W1,EXPRESS,32 MA,SG1,6,1140,6
1140,W1,W1,EXPRESS,32 MA,SG2,5,1140,5
1140,W1,W1,MEGA,32 MA,SG1,4,1140,4
1140,W1,W1,MEGA,32 MA,SG2,4,1140,4
1140,W1,W1,RCI,32 MA,SG1,3,1140,3
1140,W1,W1,RCI,32 MA,SG2,2,1140,2
1140,W1,W1,SWASTIK,32 MA,SG1,2,1140,2
1140,W1,W1,SWASTIK,32 MA,SG2,1,1140,1
1140,W1,W1,LGB,32 SA,SG1,4,1140,4
1140,W1,W1,LGB,32 SA,SG2,3,1140,3
1140,W2,W2,APML,32 MA,SG1,1,1140,1
1140,W2,W2,APML,32 MA,SG2,1,1140,1
1140,W2,W2,RCI,32 MA,SG1,2,1140,2
1140,W2,W2,RCI,32 MA,SG2,1,1140,1
1140,W2,W2,SWASTIK,32 MA,SG1,2,1140,2
1140,W2,W2,SWASTIK,32 MA,SG2,1,1140,1
1160,E1,E1,ANAND,32 MA,SG2,1,1160,1
1160,E1,E1,DGFC,32 MA,SG1,1,1160,1
1160,E1,E1,EAST INDIA,32 MA,SG1,1,1160,1
1160,E1,E1,TRIMURTHI,32 MA,SG1,1,1160,1
1160,E2,E2,ANAND,32 MA,SG1,2,1160,2
1160,E2,E2,ANAND,32 MA,SG2,2,1160,2
1160,E2,E2,EAST INDIA,32 MA,SG1,1,1160,1
1160,E2,E2,KAPOOR,32 MA,SG1,1,1160,1
1160,N1,N1,DBRC,32 MA,SG2,1,1160,1
1160,N1,N1,EAST INDIA,32 MA,SG1,1,1160,1
1160,N1,N1,EAST INDIA,32 MA,SG2,1,1160,1
1160,N1,N1,KAPOOR,32 MA,SG1,1,1160,1
1160,N1,N1,LGB,32 MA,SG1,1,1160,1
1160,N1,N1,NSTCL,32 SA,SG1,9,1160,9
1160,N1,N1,NSTCL,32 SA,SG2,6,1160,6
1160,N1,N1_1,DBRC,32 MA,SG1,1,1160,1
1160,N1,N1_1,EAST INDIA,32 MA,SG1,1,1160,1
1160,N2,N2,APML,32 MA,SG1,1,1160,1
1160,N2,N2,APML,32 MA,SG2,1,1160,1
1160,N2,N2,DBRC,32 MA,SG1,3,1160,3
1160,N2,N2,DBRC,32 MA,SG2,2,1160,2
1160,N2,N2,DRS,32 MA,SG1,6,1160,6
1160,N2,N2,DRS,32 MA,SG2,4,1160,4
1160,N2,N2,LGB,32 MA,SG1,1,1160,1
1160,N2,N2,LGB,32 MA,SG2,2,1160,2
1160,N2,N2,RCI,32 MA,SG1,1,1160,1
1160,N2,N2,RCI,32 MA,SG2,1,1160,1
1160,N2,N2,VARUNA,32 MA,SG1,6,1160,6
1160,N2,N2,VARUNA,32 MA,SG2,4,1160,4
1160,N2,N2,VIKAS,32 MA,SG1,2,1160,2
1160,N2,N2,VIKAS,32 MA,SG2,2,1160,2
1160,N3,N3,DBRC,32 MA,SG2,1,1160,1
1160,N3,N3,DRS,32 MA,SG1,3,1160,3
1160,N3,N3,DRS,32 MA,SG2,1,1160,1
1160,N3,N3,LGB,32 MA,SG1,2,1160,2
1160,N3,N3,LGB,32 MA,SG2,1,1160,1
1160,S1,S1,ILAN,18 FT,SG1,2,1160,2
1160,S1,S1,ILAN,18 FT,SG2,2,1160,2
1160,S1,S1,KTC,18 FT,SG1,4,1160,4
1160,S1,S1,KTC,18 FT,SG2,4,1160,4
1160,S1,S1,MAHAVEERA,18 FT,SG1,1,1160,1
1160,S1,S1,MEGA,18 FT,SG1,3,1160,3
1160,S1,S1,MEGA,18 FT,SG2,2,1160,2
1160,S1,S1_1,APML,18 FT,SG1,3,1160,3
1160,S1,S1_1,APML,18 FT,SG2,3,1160,3
1160,S1,S1_1,CHINNA,18 FT,SG1,2,1160,2
1160,S1,S1_1,CHINNA,18 FT,SG2,1,1160,1
1160,S1,S1_1,GBL,18 FT,SG1,1,1160,1
1160,S1,S1_1,ILAN,18 FT,SG1,3,1160,3
1160,S1,S1_1,ILAN,18 FT,SG2,2,1160,2
1160,S1,S1_1,LGB,32 MA,SG1,3,1160,3
1160,S1,S1_1,LGB,32 MA,SG2,2,1160,2
1160,S1,S1_1,MAHAVEERA,32 MA,SG1,4,1160,4
1160,S1,S1_1,MAHAVEERA,32 MA,SG2,4,1160,4
1160,S1,S1_2,MAHAVEERA,32 MA,SG1,2,1160,2
1160,S1,S1_2,MAHAVEERA,32 MA,SG2,2,1160,2
1160,S1,S1_2,LGB,32 MA,SG1,3,1160,3
1160,S1,S1_2,LGB,32 MA,SG2,1,1160,1
1160,S2,S2,MAHAVEERA,18 FT,SG1,9,1160,9
1160,S2,S2,MAHAVEERA,18 FT,SG2,7,1160,7
1160,S2,S2,MEGA,18 FT,SG1,2,1160,2
1160,S2,S2,MEGA,18 FT,SG2,1,1160,1
1160,S2,S2_1,MEGA,18 FT,SG1,1,1160,1
1160,S2,S2_1,MEGA,18 FT,SG2,1,1160,1
1160,S2,S2_1,KTC,18 FT,SG1,3,1160,3
1160,S2,S2_1,KTC,18 FT,SG2,2,1160,2
1160,S3,S3,MAHAVEERA,18 FT,SG1,2,1160,2
1160,S3,S3,MAHAVEERA,18 FT,SG2,1,1160,1
1160,S3,S3,MEGA,18 FT,SG1,1,1160,1
1160,S3,S3,ANAND,32 MA,SG1,1,1160,1
1160,S3,S3,EXPRESS,32 MA,SG1,2,1160,2
1160,S3,S3,EXPRESS,32 MA,SG2,1,1160,1
1160,S3,S3_1,MAHAVEERA,18 FT,SG1,1,1160,1
1160,W1,W1,COSMO,32 MA,SG1,1,1160,1
1160,W1,W1,COSMO,32 MA,SG2,1,1160,1
1160,W1,W1,DGFC,32 MA,SG1,1,1160,1
1160,W1,W1,DGFC,32 MA,SG2,2,1160,2
1160,W1,W1,MAHAVEERA,32 MA,SG1,2,1160,2
1160,W1,W1,MAHAVEERA,32 MA,SG2,1,1160,1
1160,W1,W1,MEGA,32 MA,SG1,1,1160,1
1160,W1,W1,MEGA,32 MA,SG2,1,1160,1
1160,W1,W1,RCI,32 MA,SG1,1,1160,1
1160,W1,W1,RCI,32 MA,SG2,1,1160,1
1160,W1,W1,LGB,32 SA,SG1,13,1160,13
1160,W1,W1,LGB,32 SA,SG2,10,1160,10
1160,W2,W2,RCI,32 MA,SG1,1,1160,1
1160,W2,W2,RCI,32 MA,SG2,1,1160,1
1160,W2,W2,SWASTIK,32 MA,SG1,3,1160,3
1160,W2,W2,SWASTIK,32 MA,SG2,1,1160,1
1160,W2,W2,TRUE FREIGHT,32 MA,SG1,2,1160,2
1160,W2,W2,TRUE FREIGHT,32 MA,SG2,2,1160,2
1150/1180,E3,E3,ANAND,32 MA,SG1,1,1150,2
1150/1180,E3,E3,ANAND,32 MA,SG1,1,1180,1
1150/1180,E3,E3,ANAND,32 MA,SG2,1,1150,1
1150/1180,E3,E3,DGFC,32 MA,SG1,3,1150,2
1150/1180,E3,E3,DGFC,32 MA,SG1,3,1180,1
1150/1180,E3,E3,DGFC,32 MA,SG2,3,1150,2
1150/1180,E3,E3,KAPOOR,32 MA,SG1,2,1150,2
1150/1180,E3,E3,KAPOOR,32 MA,SG1,2,1180,1
1150/1180,E3,E3,KAPOOR,32 MA,SG2,2,1150,1
1150/1180,E3,E3,KTC,32 MA,SG1,2,1150,2
1150/1180,E3,E3,KTC,32 MA,SG2,1,1150,1
1150/1180,E3,E3,NCS,32 MA,SG1,2,1150,2
1150/1180,E3,E3,NCS,32 MA,SG2,1,1150,1
1150/1180,E3,E3,TRIMURTHI,32 MA,SG1,1,1150,2
1150/1180,E3,E3,VARUNA,32 MA,SG1,3,1150,2
1150/1180,E3,E3,VARUNA,32 MA,SG2,2,1150,1
1150/1180,E4,E4,ANAND,32 MA,SG1,3,1150,2
1150/1180,E4,E4,ANAND,32 MA,SG1,3,1180,1
1150/1180,E4,E4,ANAND,32 MA,SG2,3,1150,2
1150/1180,E4,E4,KAPOOR,32 MA,SG1,3,1150,2
1150/1180,E4,E4,KAPOOR,32 MA,SG1,3,1180,1
1150/1180,E4,E4,KAPOOR,32 MA,SG2,4,1150,3
1150/1180,E4,E4,KTC,32 MA,SG1,1,1150,2
1150/1180,E4,E4,KTC,32 MA,SG1,1,1180,1
1150/1180,E4,E4,KTC,32 MA,SG2,2,1150,2
1150/1180,E4,E4,NCS,32 MA,SG1,3,1150,2
1150/1180,E4,E4,NCS,32 MA,SG2,1,1150,2
1150/1180,E4,E4,RCI,32 MA,SG1,1,1150,2
1150/1180,E4,E4,VARUNA,32 MA,SG1,4,1150,3
1150/1180,E4,E4,VARUNA,32 MA,SG2,2,1150,2
1150/1180,N4,N4,COSMO,32 MA,SG1,2,1150,2
1150/1180,N4,N4,COSMO,32 MA,SG1,2,1180,2
1150/1180,N4,N4,COSMO,32 MA,SG2,1,1150,2
1150/1180,N4,N4,COSMO,32 MA,SG2,1,1180,2
1150/1180,N4,N4,DBRC,32 MA,SG1,2,1150,2
1150/1180,N4,N4,DBRC,32 MA,SG1,2,1180,2
1150/1180,N4,N4,DBRC,32 MA,SG2,2,1150,1
1150/1180,N4,N4,DBRC,32 MA,SG2,2,1180,1
1150/1180,N4,N4,EXPRESS,32 MA,SG1,4,1150,2
1150/1180,N4,N4,EXPRESS,32 MA,SG1,4,1180,2
1150/1180,N4,N4,EXPRESS,32 MA,SG2,5,1150,2
1150/1180,N4,N4,EXPRESS,32 MA,SG2,5,1180,2
1150/1180,N4,N4,LGB,32 MA,SG1,5,1150,2
1150/1180,N4,N4,LGB,32 MA,SG1,5,1180,2
1150/1180,N4,N4,LGB,32 MA,SG2,3,1150,1
1150/1180,N4,N4,LGB,32 MA,SG2,3,1180,1
1150/1180,N4,N4,RCI,32 MA,SG1,7,1150,3
