ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1150/1180,1150,W3,W3_1,32 MA,7002,2
1150/1180,1150,W3,W3_1,32 MA,7003,1
1150/1180,1150,W3,W3_1,32 MA,7004,1
1150/1180,1150,W3,W3_1,32 MA,7051,2
1150/1180,1150,W3,W3_1,32 MA,7054,1
1150/1180,1150,W3,W3_1,32 MA,400350,2
1150/1180,1150,W3,W3,32 MA,7102,4
1150/1180,1150,W3,W3,32 MA,7103,2
1150/1180,1150,W3,W3,32 MA,7105,2
1150/1180,1150,W3,W3,32 MA,7150,4
1150/1180,1150,W3,W3,32 MA,7151,1
1150/1180,1150,W3,W3,32 MA,7152,6
1150/1180,1150,W3,W3,32 MA,7153,2
1150/1180,1150,W3,W3,32 MA,7154,1
1150/1180,1150,W3,W3,32 MA,7157,1
1150/1180,1150,W3,W3,32 MA,7161,1
1150/1180,1150,W3,W3,32 MA,400034,1
1150/1180,1150,W3,W3,32 MA,400038,3
1150/1180,1150,W3,W3,32 MA,400075,2
1150/1180,1150,W3,W3,32 MA,400191,1
1150/1180,1150,W3,W3,32 MA,400329,3
1150/1180,1150,W4,W4,32 MA,7250,4
1150/1180,1150,W4,W4,32 MA,7251,3
1150/1180,1150,W4,W4,32 MA,7252,2
1150/1180,1150,W4,W4,32 MA,7254,2
1150/1180,1150,W4,W4,32 MA,7301,2
1150/1180,1150,W4,W4,32 MA,7302,3
1150/1180,1150,W4,W4,32 MA,104687,2
1150/1180,1150,W4,W4,32 MA,400066,1
1150/1180,1150,W4,W4,32 MA,400295,2
1150/1180,1180,S,S,32 MA,4000,1
1150/1180,1180,S,S,32 MA,8001,1
1150/1180,1180,S,S,32 MA,8150,3
1150/1180,1180,S,S,32 MA,8300,6
1150/1180,1180,S,S,32 MA,400074,1
1150/1180,1180,S,S,32 MA,400171,2
1150/1180,1180,S,S,18 FT,8002,1
1150/1180,1180,S,S,18 FT,8003,1
1150/1180,1180,S,S,18 FT,8052,1
1150/1180,1180,S,S,18 FT,8053,1
1150/1180,1180,S,S,18 FT,8102,1
1150/1180,1180,S,S,18 FT,8103,1
1150/1180,1180,S,S,18 FT,8104,1
1150/1180,1180,S,S,18 FT,8151,1
1150/1180,1180,S,S,18 FT,8153,1
1150/1180,1180,S,S,18 FT,8156,1
1150/1180,1180,S,S,18 FT,8251,1
1150/1180,1180,S,S,18 FT,8252,1
1150/1180,1180,S,S,18 FT,8255,1
1150/1180,1180,S,S,18 FT,8256,1
1150/1180,1180,S,S,18 FT,8302,1
1150/1180,1180,E3,E3,32 MA,4002,1
1150/1180,1180,E3,E3,32 MA,6200,3
1150/1180,1180,N4,N4,32 MA,5001,1
1150/1180,1180,N4,N4,32 MA,400021,2
1150/1180,1180,N4,N4,32 MA,400286,5
1150/1180,1180,N4,N4,32 MA,400304,2
1150/1180,1180,N4,N4,32 SA,400076,15
1150/1180,1180,N4,N4,32 SA,400211,26
1150/1180,1180,N5,N5,32 MA,5050,6
1150/1180,1180,E4,E4,32 MA,6000,2
1150/1180,1180,E4,E4,32 MA,6053,1
1150/1180,1180,E4,E4,32 MA,6102,1
1150/1180,1180,E4,E4,18 FT,6103,1
1150/1180,1180,W3,W3,32 MA,7102,2
1150/1180,1180,W3,W3,32 MA,7150,4
1150/1180,1180,W3,W3,32 MA,7151,1
1150/1180,1180,W3,W3,32 MA,7152,2
1150/1180,1180,W3,W3_1,32 MA,7000,4
1150/1180,1180,N6,N6,32 SA,400314,5
1150/1180,1180,N6,N6,32 MA,5040,4
1150/1180,1180,N6,N6,32 MA,5120,4
1150/1180,1180,W4,W4,32 MA,7250,2
1150/1180,1180,W4,W4,32 MA,7302,1

